model,index,N,z,k,delta_k,delta_log_Mhol2,delta_log_s,log_R,delta_log_R,mass_delta_g_inverse2,anomaly_delta_g_inverse2,physical_uv_delta_f,matched_delta_g_inverse2,holomorphic_uv_delta_alpha,physical_uv_delta_alpha,split_delta_alpha,taylor_delta_alpha,shape_chi,shape_time,shape_matched,kahler_delta_g_inverse2,kahler_wrong_boundary_delta_g_inverse2,kahler_negative_control_shift,kahler_mass_invariance_error,kahler_negative_control_residual,konishi_delta_g_inverse2,konishi_wrong_boundary_delta_g_inverse2,konishi_negative_control_shift,konishi_mass_invariance_error,konishi_negative_control_residual,high_low_identity_residual,scalar_min_over_s
global,10,-1.6325584436968799,4.1169494129429305,0.0,0.0,0.0152195864756599076433529495979,0.0152195864756599076433529495979,-2.61293298322880403156640661539e-91,-2.57756840371035330843566426666e-91,-0.000192758314532597225896006955573,0.0,0.0,-0.000192758314532597225896006955573,0.0000176764883160455358117090786186,0.0000176764883160455358117090786186,-4.9895314421919856131813872361e-95,0.0000178116901678411560091725781426,0.988602102956489121484729262395,0.989071640745069725562078028924,0.988688197791137599036481284454,-0.000192758314532597225896006955573,-0.000192758314532597225896006955573,0.0,-2.04885119394714143311614153813e-180,4.30973218063443021544213720807e-182,-0.000192758314532597225896006955573,-0.00234894259872686970010150719981,-0.00215618428419427247420550024424,-2.04885119394714143311614153813e-180,5.36583719964314041840713874916e-182,4.30973218063443021544213720807e-182,1.0
global,11,-1.6309484255078297,4.108717659730011,0.0,0.0,0.015202180740083308600902418861,0.015202180740083308600902418861,-2.60030258959417863906566767882e-91,-2.56493801007572791593492533008e-91,-0.000192537868316248905458710821762,0.0,0.0,-0.000192537868316248905458710821762,0.0000176562724110740305416524141091,0.0000176562724110740305416524141091,-4.96508194028656768584750858484e-95,0.0000177911644049581245202821112301,0.987462881964477910713357496144,0.987979283851501000687539083687,0.987557473956423699751023483503,-0.000192537868316248905458710821762,-0.000192537868316248905458710821762,0.0,-1.82123276090632931359556303866e-180,2.94179671033066908903900150722e-185,-0.000192537868316248905458710821762,-0.00234629384667569433187396072207,-0.00215375597835944542641524990031,-1.82123276090632931359556303866e-180,-8.94306199940523403067856458194e-183,2.94179671033066908903900150722e-185,1.0
global,12,-1.6293384073187795,4.100499149126209,0.0,0.0,0.0151847762932553252621899019874,0.0151847762932553252621899019874,-2.5877337405667000562965895071e-91,-2.55236916104824933316584715837e-91,-0.000192317438422092480087293044103,0.0,0.0,-0.000192317438422092480087293044103,0.0000176360580037378564948665068545,0.0000176360580037378564948665068545,-4.9407515754179216295612841434e-95,0.0000177706405199012392364897317361,0.986323765148823147525418560222,0.98688701452923375812951555429,0.986426833888029790131923926351,-0.000192317438422092480087293044103,-0.000192317438422092480087293044103,0.0,2.73189668809637796039901729353e-180,-1.17436524676400310034436940168e-181,-0.000192317438422092480087293044103,-0.00234364520619310187882678908722,-0.00215132776777100939873949604312,2.73189668809637796039901729353e-180,-1.54385491358153513792766799099e-181,3.05946857874389585260056156751e-183,1.0
global,13,-1.6277283891297294,4.092293859827841,0.0,0.0,0.0151673731382496947983058639841,0.0151673731382496947983058639841,-2.57522613617151637532949987133e-91,-2.5398615566530656521987575226e-91,-0.000192097024889057285829295722474,0.0,0.0,-0.000192097024889057285829295722474,0.0000176158450976068261217005574835,0.0000176158450976068261217005574835,-4.91653976689476926116102018652e-95,0.000017750118516209256770628385249,0.985184752705945770196716565205,0.985794832898816902833362291556,0.985296277785624004193354072953,-0.000192097024889057285829295722474,-0.000192097024889057285829295722474,0.0,1.13831009672150299064074810144e-180,-6.38369886141755192321463327066e-183,-0.000192097024889057285829295722474,-0.0023409966777605115502103519106,-0.00214889965287145426438105618812,1.13831009672150299064074810144e-180,1.69447490515046539528646486816e-182,-6.38369886141755192321463327066e-183,1.0
global,14,-1.6261183709406792,4.084101770565488,0.0,0.0,0.0151499712781555535383574922652,0.0151499712781555535383574922652,-2.56277947789686908283128036987e-91,-2.52741489837841835970053802114e-91,-0.000191876627756267691346929670365,0.0,0.0,-0.000191876627756267691346929670365,0.0000175956336962686366701324884019,0.0000175956336962686366701324884019,-4.89244593685811242794077422176e-95,0.0000177295983974388480194553107096,0.984045844833261026889250640378,0.984702739081391464060426253926,0.984165805849874815384516105002,-0.000191876627756267691346929670365,-0.000191876627756267691346929670365,0.0,-4.55331962242762045180305589477e-181,-9.6196752427812879211575349286e-182,-0.000191876627756267691346929670365,-0.00233834826186174638969308048455,-0.00214647163410547869834615081419,-4.55331962242762045180305589477e-181,-1.12964993676697693019097657877e-181,-9.6196752427812879211575349286e-182,1.0
global,15,-1.6245083527516289,4.075922860103952,0.0,0.0,0.0151325707160753284942073333168,0.0151325707160753284942073333168,-2.55039346868540252125259718176e-91,-2.51502888916695179812185483302e-91,-0.000191656247063016393765929174804,0.0,0.0,-0.000191656247063016393765929174804,0.0000175754238033264212924933533301,0.0000175754238033264212924933533301,-4.86846951026440967954462563356e-95,0.00001770908016716211040731011707,0.982907041729040400357658491243,0.983610733198692940166525360561,0.983035418282314064141499559482,-0.000191656247063016393765929174804,-0.000191656247063016393765929174804,0.0,2.04902948404697024980304998662e-180,-5.39819696345677777838656776574e-182,-0.000191656247063016393765929174804,-0.00233569995898271273977776975887,-0.00214404371191969634601184058407,2.04902948404697024980304998662e-180,-7.24858709425476863539209971378e-182,-5.39819696345677777838656776574e-182,1.0
global,16,-1.6228983345625787,4.067757107242197,0.0,0.0,0.0151151714551264777414668033285,0.0151151714551264777414668033285,-2.53806781292827258840471924363e-91,-2.5027032334098218652739768949e-91,-0.000191435882848786460858333386978,0.0,0.0,-0.000191435882848786460858333386978,0.0000175552154224007704088500325928,0.0000175552154224007704088500325928,-4.84460991487417161615825037599e-95,0.0000176885638289686187296781092642,0.981768343592525434072614924733,0.982518815373054468074023343986,0.981905115285450017567698954391,-0.000191435882848786460858333386978,-0.000191435882848786460858333386978,0.0,1.82139123196072231579920396729e-180,-2.69762758337322355464876438212e-182,-0.000191435882848786460858333386978,-0.00233305176961166545482510134201,-0.00214161588676287899396676795503,1.82139123196072231579920396729e-180,2.35343736826453527123120120577e-183,-2.69762758337322355464876438212e-182,1.0
global,17,-1.6212883163735285,4.0596044908132916,0.0,0.0,0.0150977734984403986829338458327,0.0150977734984403986829338458327,-2.52580221645726362001063084094e-91,-2.49043763693881289687988849221e-91,-0.000191215535153237504037396054126,0.0,0.0,-0.000191215535153237504037396054126,0.0000175350085571284637056496797831,0.0000175350085571284637056496797831,-4.82086658123670054592663077113e-95,0.0000176680493864641363785160260842,0.980629750623856202814973673277,0.981426985727408663486572895251,0.980774897062696447090381990686,-0.000191215535153237504037396054126,-0.000191215535153237504037396054126,0.0,-1.59374505563187549479398279142e-180,-7.20740194031013926814555369268e-183,-0.000191215535153237504037396054126,-0.00233040369423904209227308972636,-0.00213918815908580458823569367224,-1.59374505563187549479398279142e-180,4.37739350497203560449003424274e-182,-7.20740194031013926814555369268e-183,1.0
global,18,-1.6196782981844784,4.051464989684355,0.0,0.0,0.0150803768491631517043343961842,0.0150803768491631517043343961842,-2.5135963865382337174651881795e-91,-2.47823180701978299433444583077e-91,-0.000190995204016214843564619863859,0.0,0.0,-0.000190995204016214843564619863859,0.000017514803211163310622820879517,0.000017514803211163310622820879517,-4.79723894267740170550279270056e-95,0.0000176475368432714672292741363411,0.979491263024118594304750391013,0.980335244385290257920457181542,0.979644763818419638911094231952,-0.000190995204016214843564619863859,-0.000190995204016214843564619863859,0.0,-1.13840912978343948824651501742e-180,2.07396668078312170777249606259e-182,-0.000190995204016214843564619863859,-0.00232775573335757339902775897034,-0.00213676052934135855546313910648,-1.13840912978343948824651501742e-180,4.98928722072081477501014655624e-182,2.07396668078312170777249606259e-182,1.0
global,19,-1.6180682799954282,4.043338582756507,0.0,0.0,0.015062981510455385034904792332,0.015062981510455385034904792332,-2.50145003186402430816239245399e-91,-2.46608545234557358503165010525e-91,-0.000190774889477748556897915402114,0.0,0.0,-0.000190774889477748556897915402114,0.0000174945993881760630797389704281,0.0000174945993881760630797389704281,-4.77372643528405736253981019361e-95,0.0000176270262030303655973507881609,0.978352880995339311788471534329,0.979243591470838948696293025109,0.978514715757933512560514796821,-0.000190774889477748556897915402114,-0.000190774889477748556897915402114,0.0,0.0,7.97226908499611323129569408456e-183,-0.000190774889477748556897915402114,-0.00232510788746227222769293742255,-0.00213433299798452367079502202044,0.0,-3.24774356820505867429905766397e-182,7.97226908499611323129569408456e-183,1.0
global,20,-1.616458261806378,4.0352252489648075,0.0,0.0,0.0150455874854918966164692105391,0.0150455874854918966164692105391,-2.48936286254715480298976710891e-91,-2.45399828302870407985902476017e-91,-0.000190554591578047929698643087852,0.0,0.0,-0.000190554591578047929698643087852,0.0000174743970918539066046128297379,0.0000174743970918539066046128297379,-4.75032849789268491935763259626e-95,0.0000176065174693970182165049137296,0.977214604740457122976580780474,0.978152027108802128629951897572,0.977384753087471158550025299824,-0.000190554591578047929698643087852,-0.000190554591578047929698643087852,0.0,2.27689747000315675079110460493e-181,-1.03139392664193258261707392843e-181,-0.000190554591578047929698643087852,-0.00232246015705036719486711425384,-0.00213190556547231926516847116598,2.27689747000315675079110460493e-181,-1.3461661746473141751442470897e-181,-1.03139392664193258261707392843e-181,1.0
global,21,-1.614848243617328,4.027124967278203,0.0,0.0,0.0150281947774628658408274739754,0.0150281947774628658408274739754,-2.47733459011371307971369466804e-91,-2.44197001059526235658295231931e-91,-0.000190334310357517055967871834048,0.0,0.0,-0.000190334310357517055967871834048,0.0000174541963259018909330063327485,0.0000174541963259018909330063327485,-4.72704457207570985913646206331e-95,0.0000175860106460454951081942854014,0.976076434463403386414580593643,0.977060551424536661468142337282,0.976254876014264855162865170388,-0.000190334310357517055967871834048,-0.000190334310357517055967871834048,0.0,-3.41540560764068168594680393807e-180,3.03005061164058916171017155243e-183,-0.000190334310357517055967871834048,-0.00231981254262149052729189009245,-0.0021294782322639734713240182584,-3.41540560764068168594680393807e-180,1.97688738934220962783420901285e-182,3.03005061164058916171017155243e-183,1.0
